no_diacritics,with_diacritics
"Oanh Kieu ""lot mat xanh"" cong tu an choi.","Oanh Kiều ""lọt mắt xanh"" công tử ăn chơi."
Tang cho bat dong san phai lap van ban.,Tặng cho bất động sản phải lập văn bản.
"Vi vay, dung truoc van de, Shuggie khong lua chon giai phap ra di nhu anh chi minh, ma cau chon dung cam doi mat voi me.","Vì vậy, đứng trước vấn đề, Shuggie không lựa chọn giải pháp ra đi như anh chị mình, mà cậu chọn dũng cảm đối mặt với mẹ."
Nghen ngao phim ngan ve chuyen tinh chang banh gio.,Nghẹn ngào phim ngắn về chuyện tình chàng bánh giò.
Thi xa Son Tay: Rac tran xuong pho va Quoc lo 32.,Thị xã Sơn Tây: Rác tràn xuống phố và Quốc lộ 32.
"Nghe dan bang da ton tai va hien ngay cang phat trien, tro lai nhu ky tich.","Nghề đan bàng đã tồn tại và hiện ngày càng phát triển, trở lại như kỳ tích."
Tieu diet thu linh cap cao cua IS o Iraq.,Tiêu diệt thủ lĩnh cấp cao của IS ở Iraq.
Iran se trien khai tau chien den gan lanh tho My.,Iran sẽ triển khai tàu chiến đến gần lãnh thổ Mỹ.
"Vi chuyen gia nhan manh: ""Noi toi viem nao, chung ta noi toi nhiem trung he than kinh trung uong.","Vị chuyên gia nhấn mạnh: ""Nói tới viêm não, chúng ta nói tới nhiễm trùng hệ thần kinh trung ương."
"Quach Nguyen Chan ra lenh cho dan lang cam theo cung, giao, dao, kiem va nhung vat dung khac, cung ong lan theo vet mau.","Quách Nguyên Chấn ra lệnh cho dân làng cầm theo cung, giáo, dao, kiếm và những vật dụng khác, cùng ông lần theo vết máu."
Thien than boc lua cua Napoli.,Thiên thần bốc lửa của Napoli.
"Thoi tiet on dinh, tho lan chuan bi tiep can cac manh vo may bay QZ8501 duoi bien.","Thời tiết ổn định, thợ lặn chuẩn bị tiếp cận các mảnh vỡ máy bay QZ8501 dưới biển."
"Ket thuc bai thi mon Ngu van, chieu nay cac thi sinh tiep tuc lam bai thi mon Ngoai ngu voi hinh thuc trac nghiem, thoi gian lam bai 60 phut./.","Kết thúc bài thi môn Ngữ văn, chiều nay các thí sinh tiếp tục làm bài thi môn Ngoại ngữ với hình thức trắc nghiệm, thời gian làm bài 60 phút./."
"Iran tap tran hai quan ram ro tai vung bien ""nong"".","Iran tập trận hải quân rầm rộ tại vùng biển ""nóng""."
"Ngoai ra Happynest cung xay dung va phat trien he sinh thai da nen tang phu rong khap cac kenh mang xa hoi: 220.000 luot theo doi fanpage; 400.000 thanh vien group ""Happynest - Cong dong yeu nha dep"" tren Facebook; va dong dao nguoi theo doi tren cac kenh Instagram, Tiktok, Pinterest… Trong thoi gian qua, Happynest da to chuc nhieu chien dich dem lai gia tri cho cong dong nhu: Nha Cho Nguoi Cao Tuoi, Sac Mau To Am, O Nha Chill Phet... voi su tham gia cua chu nha, chuyen gia va nha ban hang, cung xay dung ngoi nha thanh to am mot cach tien loi, de dang.","Ngoài ra Happynest cũng xây dựng và phát triển hệ sinh thái đa nền tảng phủ rộng khắp các kênh mạng xã hội: 220.000 lượt theo dõi fanpage; 400.000 thành viên group ""Happynest - Cộng đồng yêu nhà đẹp"" trên Facebook; và đông đảo người theo dõi trên các kênh Instagram, Tiktok, Pinterest… Trong thời gian qua, Happynest đã tổ chức nhiều chiến dịch đem lại giá trị cho cộng đồng như: Nhà Cho Người Cao Tuổi, Sắc Màu Tổ Ấm, Ở Nhà Chill Phết... với sự tham gia của chủ nhà, chuyên gia và nhà bán hàng, cùng xây dựng ngôi nhà thành tổ ấm một cách tiện lợi, dễ dàng."
"Vi vay, moi ke hoach sau do, chi se xem xet sap xep lai cho hop ly.","Vì vậy, mọi kế hoạch sau đó, chị sẽ xem xét sắp xếp lại cho hợp lý."
Bi quyet mac dep trong ngay mua bao.,Bí quyết mặc đẹp trong ngày mưa bão.
Hoa Binh tuyen giao vien dot 2 nam 2014.,Hòa Bình tuyển giáo viên đợt 2 năm 2014.
Quan doi Syria thoc sau vao ben trong thanh co Palmyra.,Quân đội Syria thọc sâu vào bên trong thành cổ Palmyra.
To chuc chuong trinh Hang Viet cho tet Viet.,Tổ chức chương trình Hàng Việt cho tết Việt.
Quan chinh phu Syria chiem lai al-Qusayr.,Quân chính phủ Syria chiếm lại al-Qusayr.
(VnMedia) - Bat doi tuong van chuyen gan ½ banh heroin.,(VnMedia) - Bắt đối tượng vận chuyển gần ½ bánh heroin.
"Thu truong Bui Van Nam tham, lam viec voi Cuc An ninh Tay Nam Bo.","Thứ trưởng Bùi Văn Nam thăm, làm việc với Cục An ninh Tây Nam Bộ."
Doanh nghiep BDS buc xuc ve danh sach 77 du an the chap.,Doanh nghiệp BĐS bức xúc về danh sách 77 dự án thế chấp.
Ghe bap benh sac pin cho iPhone/iPad.,Ghế bập bênh sạc pin cho iPhone/iPad.
Benh da tinh.,Bệnh đa tình.
Soc: Mascherano DI TU 1 nam vi toi tron thue.,Sốc: Mascherano ĐI TÙ 1 năm vì tội trốn thuế.
Co hoi hoc bong cuc cool den tu Hoc vien Nghe thuat tai Bournemouth.,Cơ hội học bổng cực cool đến từ Học viện Nghệ thuật tại Bournemouth.
Vua A-rap Xe-ut mang 13 ty USD 'chia' cho dan sau khi ap thue gia tri gia tang.,Vua Ả-rập Xê-út mang 13 tỷ USD 'chia' cho dân sau khi áp thuế giá trị gia tăng.
Lap tien do thi cong chi tiet cac goi thau Du an duong cao toc Noi Bai - Lao Cai.,Lập tiến độ thi công chi tiết các gói thầu Dự án đường cao tốc Nội Bài - Lào Cai.
"Va giong nhu nhieu hang trong nganh, ho dang gap kho khan voi tinh trang thieu nhan vien.","Và giống như nhiều hãng trong ngành, họ đang gặp khó khăn với tình trạng thiếu nhân viên."
Truc tiep QPR 0 0 Tottenham (hiep 1).,Trực tiếp QPR 0 0 Tottenham (hiệp 1).
Co the khoi to vu an vu 'tin don' chu tich BIDV bi bat.,Có thể khởi tố vụ án vụ 'tin đồn' chủ tịch BIDV bị bắt.
Thuong vien My thong qua trung phat moi voi Iran.,Thượng viện Mỹ thông qua trừng phạt mới với Iran.
TP.HCM giup Binh Thuan tieu thu 100 tan hai san moi thang.,TP.HCM giúp Bình Thuận tiêu thụ 100 tấn hải sản mỗi tháng.
"Ben canh do, anh cung ra san 110 tran cho cac doi tuyen cua Viet Nam (43 tran khoac ao doi tuyen quoc gia). Nam 2019, ten tuoi cua Quang Hai da vuon xa toi tam chau A khi giup doi tuyen Viet Nam lot vao tu ket Asian Cup 2019.","Bên cạnh đó, anh cũng ra sân 110 trận cho các đội tuyển của Việt Nam (43 trận khoác áo đội tuyển quốc gia). Năm 2019, tên tuổi của Quang Hải đã vươn xa tới tầm châu Á khi giúp đội tuyển Việt Nam lọt vào tứ kết Asian Cup 2019."
Ly Hoang Nam thua tiec nuoi o tran dau tren san co.,Lý Hoàng Nam thua tiếc nuối ở trận đầu trên sân cỏ.
"""My ung ho Tho Nhi Ky hien dai hoa doi may bay chien dau vi dieu nay dong gop cho an ninh cua NATO, tu do cung tot cho an ninh cua My"", ba Wallander noi.","""Mỹ ủng hộ Thổ Nhĩ Kỳ hiện đại hoá đội máy bay chiến đấu vì điều này đóng góp cho an ninh của NATO, từ đó cũng tốt cho an ninh của Mỹ"", bà Wallander nói."
Lua ban nha nguoi khac.,Lừa bán nhà người khác.
Dien thoai Android chua day mam mong ma doc.,Điện thoại Android chứa đầy mầm mống mã độc.
Lam trong sach bong da chau Au.,Làm trong sạch bóng đá châu Âu.
TPP - hai goc nhin.,TPP - hai góc nhìn.
Ban nhac Dan Mach don Tet cung fan Viet Nam.,Ban nhạc Đan Mạch đón Tết cùng fan Việt Nam.
"Nho su men mo cua khan gia, ca 3 giong ca nay van luon dong hanh cung nhau qua nhung san pham am nhac va truyen them nang luong tich cuc cho nhieu the he khan gia.","Nhờ sự mến mộ của khán giả, cả 3 giọng ca này vẫn luôn đồng hành cùng nhau qua những sản phẩm âm nhạc và truyền thêm năng lượng tích cực cho nhiều thế hệ khán giả."
Nha o cong nghe xanh chua hap dan chu dau tu va nguoi tieu dung.,Nhà ở công nghệ xanh chưa hấp dẫn chủ đầu tư và người tiêu dùng.
Chinh phu My dong cua hoi nam 1995 da 'giup' Bill Clinton ngoai tinh?.,Chính phủ Mỹ đóng cửa hồi năm 1995 đã 'giúp' Bill Clinton ngoại tình?.
"JEAN-CLAIR TODIBO
(4 trieu euro)
Thang 2 nam ngoai, Todibo gia nhap Nice duoi dang hop dong cho muon kem dieu khoan mua dut (khi do, Benfica va Barca dong so huu Todibo). Cach day khong lau, doi bong dang gop mat o Ligue 1 da quyet dinh gan bo lau dai voi trung ve 22 tuoi nay.","JEAN-CLAIR TODIBO
(4 triệu euro)
Tháng 2 năm ngoái, Todibo gia nhập Nice dưới dạng hợp đồng cho mượn kèm điều khoản mua đứt (khi đó, Benfica và Barca đồng sở hữu Todibo). Cách đây không lâu, đội bóng đang góp mặt ở Ligue 1 đã quyết định gắn bó lâu dài với trung vệ 22 tuổi này."
Xem truc tiep U.19 Viet Nam 0-1 U.19 Nhat Ban (Hiep 2): Mao hiem tan cong.,Xem trực tiếp U.19 Việt Nam 0-1 U.19 Nhật Bản (Hiệp 2): Mạo hiểm tấn công.
"Den khi vao dai hoc, cau sinh vien Gates tham gia nhieu mon hoc chuyen nganh nhu Cau truc he thong, Quan tri du lieu, Chuong trinh dich, Do hoa may tinh va deu dat diem A.","Đến khi vào đại học, cậu sinh viên Gates tham gia nhiều môn học chuyên ngành như Cấu trúc hệ thống, Quản trị dữ liệu, Chương trình dịch, Đồ họa máy tính và đều đạt điểm A."
"Voi su ho tro cua cong nghe Piezotome, thao tac nho rang khon tro nen de dang hon chi khoang 2p/rang.","Với sự hỗ trợ của công nghệ Piezotome, thao tác nhổ răng khôn trở nên dễ dàng hơn chỉ khoảng 2p/răng."
Nhung dieu nay lam giam su xuat hien cua seo va cho thay ket qua co the nhin thay gan nhu ngay lap tuc.,Những điều này làm giảm sự xuất hiện của sẹo và cho thấy kết quả có thể nhìn thấy gần như ngay lập tức.
Florentino Perez: Thu tieu tien va chem HLV.,Florentino Perez: Thú tiêu tiền và chém HLV.
GS Dang Hung Vo doi thoai voi nguoi dan ve thu hoi dat du an Ecopark.,GS Đặng Hùng Võ đối thoại với người dân về thu hồi đất dự án Ecopark.
"Mang doanh nghiep da nang, on dinh.","Mạng doanh nghiệp đa năng, ổn định."
"DT Viet Nam ""chap"" doi thu 1 nguoi.","ĐT Việt Nam ""chấp"" đối thủ 1 người."
Rich Slim - thon gon voc dang an toan..,Rich Slim - thon gọn vóc dáng an toàn..
Vang co xu huong giam do bi ban thao.,Vàng có xu hướng giảm do bị bán tháo.
Keu goi khoa than ung ho Putin thanh tong thong.,Kêu gọi khỏa thân ủng hộ Putin thành tổng thống.
"Wenger len ke hoach ""thay mau"" Arsenal.","Wenger lên kế hoạch ""thay máu"" Arsenal."
Hat bui con vuong.,Hạt bụi còn vương.
"Van de la trong dong chay tin don, du luan bat dau mat dan kien nhan.","Vấn đề là trong dòng chảy tin đồn, dư luận bắt đầu mất dần kiên nhẫn."
Ban vo roi chup hinh dua len Facebook.,Bắn vợ rồi chụp hình đưa lên Facebook.
Ngheo doi: nhung con so noi doi.,Nghèo đói: những con số nói dối.
Ga Viet kieu 40 lan quay pha cac trai giam tu Nam ra Bac.,Gã Việt kiều 40 lần quậy phá các trại giam từ Nam ra Bắc.
El Clasico chuyen nhuong: Real thua dam Barca.,El Clasico chuyển nhượng: Real thua đậm Barca.
"Tam Binh (Vinh Long): Van dong hon 14,6 ty dong giup nguoi ngheo.","Tam Bình (Vĩnh Long): Vận động hơn 14,6 tỷ đồng giúp người nghèo."
Siu Black se lam Live show dau tien.,Siu Black sẽ làm Live show đầu tiên.
"Sao lai the , Anh Tuan?.","Sao lại thế , Anh Tuấn?."
Ngu giua 2.000 cay po mu.,Ngủ giữa 2.000 cây pơ mu.
Tuy nhien khi nam trong mot tap the thi do lai la cau chuyen hoan toan trai nguoc.,Tuy nhiên khi nằm trong một tập thể thì đó lại là câu chuyện hoàn toàn trái ngược.
"Con nho thoi diem dang gay chu y boi vai dien Cao Thanh Lam trong Chay an, dien vien Viet Anh khien khan gia bat ngo khi cong khai chuyen ""ve chung mot nha"" voi bien tap vien Thuy Linh.","Còn nhớ thời điểm đang gây chú ý bởi vai diễn Cao Thanh Lâm trong Chạy án, diễn viên Việt Anh khiến khán giả bất ngờ khi công khai chuyện ""về chung một nhà"" với biên tập viên Thùy Linh."
"Tuyen 1 gap kho, Ha Noi chua the trien khai tuyen buyt nhanh BRT so 2.","Tuyến 1 gặp khó, Hà Nội chưa thể triển khai tuyến buýt nhanh BRT số 2."
'Tieu Federer' Wawrinka - quyen luc moi thach thuc Big Four.,'Tiểu Federer' Wawrinka - quyền lực mới thách thức Big Four.
Viet Nam mat thoi gian nop thue gap ba lan the gioi.,Việt Nam mất thời gian nộp thuế gấp ba lần thế giới.
Ro rang la Xuan Nam da choi bong bang tay.,Rõ ràng là Xuân Nam đã chơi bóng bằng tay.
"Tham len dinh , roi loai chuyen ay.","Tham lên đỉnh , rối loại chuyện ấy."
Thanh pho cung da xay dung duong day nong de cap nhat thong tin ve thoi tiet hoac nhung thong tin du khach co nhu cau de kip thoi ho tro du khach.,Thành phố cũng đã xây dựng đường dây nóng để cập nhật thông tin về thời tiết hoặc những thông tin du khách có nhu cầu để kịp thời hỗ trợ du khách.
Nga khoi dong lai chuong trinh vu khi laser.,Nga khởi động lại chương trình vũ khí laser.
TTCK: Ap luc chot loi khien VN-Index giam nhe.,TTCK: Áp lực chốt lời khiến VN-Index giảm nhẹ.
Choang vang vi gia vang.,Choáng váng vì giá vàng.
"Co cung gay chu y vi he lo anh cuoi ben chong, mot doanh nhan.","Cô cũng gây chú ý vì hé lộ ảnh cưới bên chồng, một doanh nhân."
"Trung tam bao tin dong dat va canh bao song than cho biet, cac tran dong dat nay duoc xep loai cap do rui ro thien tai cap 0.","Trung tâm báo tin động đất và cảnh báo sóng thần cho biết, các trận động đất này được xếp loại cấp độ rủi ro thiên tai cấp 0."
"Galaxy Note8 ra mat: Camera kep, man hinh vo cuc 6.3 inch, but SPen cai tien.","Galaxy Note8 ra mắt: Camera kép, màn hình vô cực 6.3 inch, bút SPen cải tiến."
Manh Dung don qua tat tot bang cu danh dau cang khong cho thu mon co hoi can pha.,Mạnh Dũng đón quả tạt tốt bằng cú đánh đầu căng không cho thủ môn cơ hội cản phá.
"Voi khach hang su dung dien, su dung dien tiet kiem, hieu qua se gop phan giam chi phi hoa don tien dien hang thang.","Với khách hàng sử dụng điện, sử dụng điện tiết kiệm, hiệu quả sẽ góp phần giảm chi phí hóa đơn tiền điện hàng tháng."
"VNS: Red River Holding mua 1.7 trieu cp, nang nam giu len 13.31%.","VNS: Red River Holding mua 1.7 triệu cp, nâng nắm giữ lên 13.31%."
Tuy nhien tu thang 11 toi day chuan nay se duoc ap dung tren toan bo thi truong chu khong con gioi han o xe moi nua.,Tuy nhiên từ tháng 11 tới đây chuẩn này sẽ được áp dụng trên toàn bộ thị trường chứ không còn giới hạn ở xe mới nữa.
Bat hoa giua nuoc va lua o vuon quoc gia Tram Chim.,Bất hòa giữa nước và lửa ở vườn quốc gia Tràm Chim.
"Khi ""gai goi"" la sinh vien!.","Khi ""gái gọi"" là sinh viên!."
Lan Ngoc duoc vinh danh nu dien vien xuat sac tai My.,Lan Ngọc được vinh danh nữ diễn viên xuất sắc tại Mỹ.
Doi trai gai giu chat nu sinh vien de quan chuc doanh nghiep hiep 'giai den'.,Đôi trai gái giữ chặt nữ sinh viên để quan chức doanh nghiệp hiếp 'giải đen'.
Vu luat su Tran Hong Linh o Hai Phong bi tat axit: Da khoi to vu an Co y gay thuong tich.,Vụ luật sư Trần Hồng Lĩnh ở Hải Phòng bị tạt axit: Đã khởi tố vụ án Cố ý gây thương tích.
Xu phat vi pham 2 co quan bao chi.,Xử phạt vi phạm 2 cơ quan báo chí.
"Cuoi nam, chon kenh dau tu nao?.","Cuối năm, chọn kênh đầu tư nào?."
Benh nhan dau tien tu vong do mac sot ret o Binh Phuoc.,Bệnh nhân đầu tiên tử vong do mắc sốt rét ở Bình Phước.
Ca si 'Will You Wait For Me' thua nhan la nguoi dong tinh.,Ca sĩ 'Will You Wait For Me' thừa nhận là người đồng tính.
"Ngo My Uyen duoc quan tam nhat khi la chu nhan can biet thu dat vang rong nghin met vuong o Han Thuyen (Quan 1, TP.HCM) va duoc truyen thong luc do goi la ""Hoa hau giau nhat Viet Nam"". Sau nay, Ngo My Uyen roi Viet Nam dinh cu Italy cung chong la giao su Marco Casini.","Ngô Mỹ Uyên được quan tâm nhất khi là chủ nhân căn biệt thự dát vàng rộng nghìn mét vuông ở Hàn Thuyên (Quận 1, TP.HCM) và được truyền thông lúc đó gọi là ""Hoa hậu giàu nhất Việt Nam"". Sau này, Ngô Mỹ Uyên rời Việt Nam định cư Italy cùng chồng là giáo sư Marco Casini."
Hay dung Uber web app.,Hãy dùng Uber web app.
Tap huan tu hinh bang tiem thuoc doc.,Tập huấn tử hình bằng tiêm thuốc độc.
Khong can xem tai lieu.,Không cần xem tài liệu.
"TCty Ca phe Viet Nam trien khai cong tac tai chinh, kiem toan.","TCty Cà phê Việt Nam triển khai công tác tài chính, kiểm toán."
"AGF: LNST quy II chi dat gan 5,6 ty dong, giam 85% so voi cung ky.","AGF: LNST quý II chỉ đạt gần 5,6 tỷ đồng, giảm 85% so với cùng kỳ."
Ba bau Vic diu dang dam tim ngay sinh nhat.,Bà bầu Vic dịu dàng đầm tím ngày sinh nhật.
"Gan mac dai gia Viet, hanh xu nhu ""con do"".","Gắn mác đại gia Việt, hành xử như ""côn đồ""."
HTC Desire HD xuat hien tren trang ban hang Amazon Anh quoc.,HTC Desire HD xuất hiện trên trang bán hàng Amazon Anh quốc.
Sex trong phim Truong Nghe Muu.,Sex trong phim Trương Nghệ Mưu.
"Ba cung hon bay muoi, an mac sang trong, chiec xe hoi mau den dau xa xa dang cho.","Bà cũng hơn bảy mươi, ăn mặc sang trọng, chiếc xe hơi màu đen đậu xa xa đang chờ."
"Thoi diem ket hon, co da 36 tuoi.","Thời điểm kết hôn, cô đã 36 tuổi."
"Xay dung Cong an nhan dan vung manh ve chinh tri, tu tuong va to chuc.","Xây dựng Công an nhân dân vững mạnh về chính trị, tư tưởng và tổ chức."
Da Nang: Gap mat cac Doanh nhan tieu bieu nam 2009.,Đà Nẵng: Gặp mặt các Doanh nhân tiêu biểu năm 2009.
Con trai dung keo dam chet cha ruot vi khong doi duoc so do.,Con trai dùng kéo đâm chết cha ruột vì không đòi được sổ đỏ.
Hinh anh dang yeu cac be di le Phat dau xuan.,Hình ảnh đáng yêu các bé đi lễ Phật đầu xuân.
Bac si Tiin: Lo lang cua cau be 12 tuoi thuong xuyen xem phim sex.,Bác sĩ Tiin: Lo lắng của cậu bé 12 tuổi thường xuyên xem phim sex.
Du lich he an toan voi My Sony.,Du lịch hè an toàn với My Sony.
"Vao luc nay, Man United dang rat can su tiep vien cho hang tien ve trong mua He nay sau su ra di cua 4 cau thu o vi tri nay gom Paul Pogba, Nemanja Matic, Juan Mata, Jesse Lingard.","Vào lúc này, Man United đang rất cần sự tiếp viện cho hàng tiền vệ trong mùa Hè này sau sự ra đi của 4 cầu thủ ở vị trí này gồm Paul Pogba, Nemanja Matic, Juan Mata, Jesse Lingard."
"Ve que ta toi sau khi dam vo, giet hang xom vi ghen tuong.","Về quê tạ tội sau khi đâm vợ, giết hàng xóm vì ghen tuông."
"Nen nho rang so voi Niortais xep thu 14 mua truoc, cac doi con lai o Ligue 2 chi hon chu khong co kem voi nhung hau ve con du dan hon.","Nên nhớ rằng so với Niortais xếp thứ 14 mùa trước, các đội còn lại ở Ligue 2 chỉ hơn chứ không có kém với những hậu vệ còn dữ dằn hơn."
Dam chet nguoi vi bi noi la dan em.,Đâm chết người vì bị nói là đàn em.
"Levante vs Barca: Trai tim nong, cai dau lanh.","Levante vs Barca: Trái tim nóng, cái đầu lạnh."
Han Ga In co ban sao... khac gioi.,Han Ga In có bản sao... khác giới.
Thanh tra tai san 'khung' cua Giam doc So TN-MT Yen Bai.,Thanh tra tài sản 'khủng' của Giám đốc Sở TN-MT Yên Bái.
Mua hang hieu gia re.,Mua hàng hiệu giá rẻ.
"Dieu dac biet la nhung thong tin nay deu da duoc phat tren ti vi, dang tai tren bao chi va tham chi duoc Bo Y te hay cac mang xa hoi, ung dung khai bao y te gui thang tin nhan ve may dien thoai cua tung nguoi.","Điều đặc biệt là những thông tin này đều đã được phát trên ti vi, đăng tải trên báo chí và thậm chí được Bộ Y tế hay các mạng xã hội, ứng dụng khai báo y tế gửi thẳng tin nhắn về máy điện thoại của từng người."
da duoc ban giao cho gia dinh mai tang.,đã được bàn giao cho gia đình mai táng.
TPHCM chinh thuc thue tron goi 'sieu may bom' giai cuu ron ngap.,TPHCM chính thức thuê trọn gói 'siêu máy bơm' giải cứu rốn ngập.
- Chi co lo lang ve viec da xao nhang voi nghe thuat qua lau nhu vay thi se bi tut hau khong?,- Chị có lo lắng về việc đã xao nhãng với nghệ thuật quá lâu như vậy thì sẽ bị tụt hậu không?
Thoi su trong ngay: Chong nhan tam giet vo moi cuoi.,Thời sự trong ngày: Chồng nhẫn tâm giết vợ mới cưới.
"Nhieu tran vua qua, Ivancic thuong phai ngoi du bi.","Nhiều trận vừa qua, Ivancic thường phải ngồi dự bị."
Chevrolet Spark phien ban tu dong ra mat tai Viet Nam.,Chevrolet Spark phiên bản tự động ra mắt tại Việt Nam.
"Tin tuc tai nan giao thong noi bat trong tuan: Lat xe giuong nam, 7 nguoi bi thuong.","Tin tức tai nạn giao thông nổi bật trong tuần: Lật xe giường nằm, 7 người bị thương."
Ukraine vo tinh nhat duoc tin mat cua Anh.,Ukraine vô tình nhặt được tin mật của Anh.
Thieu thuc tien ?.,Thiếu thực tiễn ?.
Vi sao DK Roma dan dau phan khuc xe may dien trong hon 1 nam qua?.,Vì sao DK Roma dẫn đầu phân khúc xe máy điện trong hơn 1 năm qua?.
Ong Nguyen Thien Nhan de xuat tang luong cho chu tich quan.,Ông Nguyễn Thiện Nhân đề xuất tăng lương cho chủ tịch quận.
Lanh an that sau khi lua chay an.,Lãnh án thật sau khi lừa chạy án.
"Thit nguoi, xuc xich doc ngang thuoc la va thach tin.","Thịt nguội, xúc xích độc ngang thuốc lá và thạch tín."
"Dinh duong can bang - ""Cot moc"" ky dieu cho co the..","Dinh dưỡng cân bằng - ""Cột mốc"" kỳ diệu cho cơ thể.."
Dong minh- ke thu cua My mong manh trong cuoc chien IS.,Đồng minh- kẻ thù của Mỹ mong manh trong cuộc chiến IS.
"Diem manh, yeu cua 5 smartphone 1.080p hang dau hien nay.","Điểm mạnh, yếu của 5 smartphone 1.080p hàng đầu hiện nay."
Milan lien he voi Amantino Mancini.,Milan liên hệ với Amantino Mancini.
Moi co hon 2.200 xe may dien di dang ky bien so.,Mới có hơn 2.200 xe máy điện đi đăng ký biển số.
Ty le that nghiep tai Eurozone xuong muc thap nhat 5 nam qua.,Tỷ lệ thất nghiệp tại Eurozone xuống mức thấp nhất 5 năm qua.
"Nghi giam doc bo tron, hon 600 cong nhan 'truc chien' o cong cong ty may.","Nghi giám đốc bỏ trốn, hơn 600 công nhân 'trực chiến' ở cổng công ty may."
Sap ham vang o Lao Cai: Phu vang lu luot chay tron khoi Sa Phin.,Sập hầm vàng ở Lào Cai: Phu vàng lũ lượt chạy trốn khỏi Sa Phìn.
15 cong trinh thi dua mung Dai hoi IX CD TP.,15 công trình thi đua mừng Đại hội IX CĐ TP.
I-ta-li-a: Trum cua cac trum ma-phi-a sa luoi.,I-ta-li-a: Trùm của các trùm ma-phi-a sa lưới.
"Den nam 2030, neu hoan thanh duoc giai doan 2 cua du an voi cong suat 50 trieu khach/nam, Long Thanh moi du nang luc canh tranh ban dau cua mot trung tam trung chuyen hang khong quoc te cua khu vuc.","Đến năm 2030, nếu hoàn thành được giai đoạn 2 của dự án với công suất 50 triệu khách/năm, Long Thành mới đủ năng lực cạnh tranh ban đầu của một trung tâm trung chuyển hàng không quốc tế của khu vực."
Phan no vi nguoi trong tre nhan tam giam dap cau be 5 tuoi luoi an.,Phẫn nộ vì người trông trẻ nhẫn tâm giẫm đạp cậu bé 5 tuổi lười ăn.
Mot luong lon bong vu tru bi an roi xuong Namibia.,Một lượng lớn bóng vũ trụ bí ẩn rơi xuống Namibia.
Messi xe nat hang phong thu vung chac nhat La Liga.,Messi xé nát hàng phòng thủ vững chắc nhất La Liga.
"Tiep da tang tu phien hom qua, thi truong chung khoan mo cua trong sac xanh.","Tiếp đà tăng từ phiên hôm qua, thị trường chứng khoán mở cửa trong sắc xanh."
"Neu ra ngoai, moi nguoi can mac quan ao dai va doi mu rong vanh de bao ve da khoi anh nang.","Nếu ra ngoài, mọi người cần mặc quần áo dài và đội mũ rộng vành để bảo vệ da khỏi ánh nắng."
Binh Thuan: Nguoi dan thay dau vet kho bau '4.000 tan vang o nui Tau'.,Bình Thuận: Người dân thấy dấu vết kho báu '4.000 tấn vàng ở núi Tàu'.
Phat hien thanh nien van chuyen chat cuc doc.,Phát hiện thanh niên vận chuyển chất cực độc.
"Thanh tra cac du an thuoc linh vuc giao thong, moi truong tai Ha Noi, TP Ho Chi Minh.","Thanh tra các dự án thuộc lĩnh vực giao thông, môi trường tại Hà Nội, TP Hồ Chí Minh."
Toyota Corolla cham nguong 1 trieu xe san xuat tai My.,Toyota Corolla chạm ngưỡng 1 triệu xe sản xuất tại Mỹ.
Gap go than dong piano nhan danh hieu Guong mat tre tieu bieu.,Gặp gỡ thần đồng piano nhận danh hiệu Gương mặt trẻ tiêu biểu.
"CEO Best Buy phai ban tai san de ""thoat"" khoi vo.","CEO Best Buy phải bán tài sản để ""thoát"" khỏi vợ."
6 van de thuong gap o tre co cha me ly hon.,6 vấn đề thường gặp ở trẻ có cha mẹ ly hôn.
Dich thuat mo canh cua dua Viet Nam ra the gioi.,Dịch thuật mở cánh cửa đưa Việt Nam ra thế giới.
Tin do tan the hy vong song sot neu den lang co.,Tín đồ tận thế hy vọng sống sót nếu đến làng cổ.
"BS Ninh cho biet, benh cum co ton thuong nhieu hon o duong ho hap, benh nhan se kem theo cac trieu chung nhu hat hoi, so mui, chay nuoc mui hoac ho nen nguoi dan rat de nham lan voi benh Covid-19, dan den chu quan, tho o voi benh.","BS Ninh cho biết, bệnh cúm có tổn thương nhiều hơn ở đường hô hấp, bệnh nhân sẽ kèm theo các triệu chứng như hắt hơi, sổ mũi, chảy nước mũi hoặc ho nên người dân rất dễ nhầm lẫn với bệnh Covid-19, dẫn đến chủ quan, thờ ơ với bệnh."
Cho vay tien ti qua de dang.,Cho vay tiền tỉ quá dễ dàng.
Co mot dieu can luu y rang cong ty me cua TikTok la nguoi Trung Quoc.,Có một điều cần lưu ý rằng công ty mẹ của TikTok là người Trung Quốc.
"Say ruou, anh re vung dao sat hai em gai vo.","Say rượu, anh rể vung dao sát hại em gái vợ."
Kho co giai phap toan dien duy nhat cho no cong.,Khó có giải pháp toàn diện duy nhất cho nợ công.
An tuong nhung can ho penthouse dat gia nhat the gioi.,Ấn tượng những căn hộ penthouse đắt giá nhất thế giới.
Sua oto Honda o dau tot nhat?.,Sửa ôtô Honda ở đâu tốt nhất?.
Xin cam on.,Xin cảm ơn.
"Thay lam an thuan loi, thang 4/2021, anh quyet dinh mo them mot chi nhanh khac tren duong Truong Sa.","Thấy làm ăn thuận lợi, tháng 4/2021, anh quyết định mở thêm một chi nhánh khác trên đường Trường Sa."
10 su that choang vang ve cua quy cua dan ong.,10 sự thật choáng váng về của quý của đàn ông.
